direction_id,source_dataset,target_dataset,ablation,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,stable_stage5_detection_cycle,lead_cycles,false_high_episodes_per_1000_early_cycles,teacher_student_agreement,pseudo_state_acceptance_rate,posthoc_pseudo_state_accuracy,prototype_drift,prototype_support_stage1,prototype_support_stage2,prototype_support_stage3,prototype_support_stage4,prototype_support_stage5,update_count,freeze_count,rollback_count
Exp1_to_Exp2,Exp1,Exp2,B0_STATIC_SOURCE,0.8925697118813294,0.45641330972912464,0.7121979166666667,0.5692861986436883,1.7905573304934328,0.08011576263141046,0.7158432044734646,0.0,0.026733500417710943,0.04679420918892747,0.14142809911246323,1.5805780454550944,0.2448741530468585,,,0.835421888053467,1.0,0.0,,0.0,0,0,0,0,0,0,15,0
Exp1_to_Exp2,Exp1,Exp2,B1_TIME_ONLY_HMM,1.0,1.0,1.0,1.0,1.9549165779197728,0.08775860582161979,0.9793698808822489,1.0,0.9055973266499582,0.5767069298810412,0.4820169021075547,0.7032814754949606,0.7608965688449226,11695.5,0.0,0.835421888053467,1.0,0.0,,0.0,0,0,0,0,0,0,15,0
Exp1_to_Exp2,Exp1,Exp2,B2_STATIC_HMM,0.8915498858935957,0.4542047670361988,0.7114305555555556,0.5686363280823798,1.3400780972665958,0.07161374374567667,0.718629295411161,0.0,0.0,0.17039396263395296,0.17039400922755304,0.045946981926554865,0.9926684308657369,,,0.0,1.0,0.41995030173943915,0.23076923076923078,0.0,0,0,0,0,0,0,15,0
Exp1_to_Exp2,Exp1,Exp2,B3_DYNAMIC_PROTOTYPE,0.891423299101412,0.45356314986853263,0.7115,0.5686607667826015,1.3400780972665958,0.07161374374567667,0.718521641208909,0.0,0.0,0.17039363004881952,0.17039400926876447,0.04636600891698773,0.9925755783353659,,,0.0,1.0,0.01668441604543841,0.1276595744680851,0.05093811824917793,0,22,0,0,0,0,27,0
Exp1_to_Exp2,Exp1,Exp2,B4_TEACHER_MEMORY,0.891423299101412,0.45356314986853263,0.7115,0.5686607667826015,1.3400780972665958,0.07161374374567667,0.718521641208909,0.0,0.0,0.17039363004881952,0.17039400926876447,0.04636600891698773,0.9925755783353659,,,0.0,1.0,0.01668441604543841,0.1276595744680851,0.05093811824917793,0,22,0,0,0,0,27,0
Exp1_to_Exp2,Exp1,Exp2,B5_TEMPORAL_RANKING,0.8818624304664099,0.43944778786331057,0.6834826388888889,0.5530581816259499,1.3400780972665958,0.07161374374567667,0.6923763894951537,0.0,0.0,0.1703936301820762,0.1703940093711257,0.04636612987826608,0.9925757499687813,,,0.0,0.9985800496982605,0.01668441604543841,0.1276595744680851,0.05071967840194702,0,22,0,0,0,2,27,0
Exp1_to_Exp2,Exp1,Exp2,B6_FULL_ADAPTATION,0.8818232063899586,0.4393863451481443,0.6833263888888889,0.5529655982201082,1.3400780972665958,0.07161374374567667,0.6921896870924136,0.0,0.0,0.1703936301811507,0.1703940093691518,0.04636612960270205,0.9925757487477412,,,0.0,0.9985800496982605,0.01668441604543841,0.1276595744680851,0.05070631578564644,0,22,0,0,0,2,27,0
Exp1_to_Exp2,Exp1,Exp2,B7_TENT_LITE,0.9045027456853516,0.4762347304772445,0.7476006944444444,0.5900499848064797,1.3400780972665958,0.07161374374567667,0.8649100873768245,0.0,0.0,0.17039396029947598,0.1703940064498274,0.04642699613867865,0.9925680753382752,,,0.0,0.7216897408590699,0.27689030883919064,0.35,0.0,0,0,0,0,0,39,15,0
Exp2_to_Exp1,Exp2,Exp1,B0_STATIC_SOURCE,0.7719315012791713,0.6344305935018009,0.6767088859648415,0.8153195659714804,1.691058694459682,0.09968776588434108,0.671515573398447,0.001364256480218281,0.0,0.10771345187773498,0.18018585180461685,1.5743179703374652,0.260604438360615,42165.5,-7575.0,0.0,1.0,0.0,,0.0,0,0,0,0,0,0,54,0
Exp2_to_Exp1,Exp2,Exp1,B1_TIME_ONLY_HMM,0.7040919606709081,0.19971874032132145,0.5,0.4064386160872331,1.9584201865057598,0.08984703076866989,0.6952651581624243,1.0,0.9732290926320777,0.5397638386427999,0.47525141696433665,0.65311586032627,0.7852780693571448,34590.5,0.0,0.2369106846718787,1.0,0.0,,0.0,0,0,0,0,0,0,54,0
Exp2_to_Exp1,Exp2,Exp1,B2_STATIC_HMM,0.5467430776542573,0.4986633227395648,0.7490773778290831,0.8452077544763811,1.356335710367526,0.13274728340390346,-0.26559335376128623,0.3506139154160982,0.002606017531390666,0.24054995413606,0.240001583460497,0.08608920409617062,0.976407158168498,34590.5,0.0,0.4738213693437574,1.0,0.35271530444322546,0.24043545878693623,0.0,0,0,0,0,0,0,54,0
Exp2_to_Exp1,Exp2,Exp1,B3_DYNAMIC_PROTOTYPE,0.5905040305664991,0.5142437643954073,0.756887544365244,0.8508100568508783,1.3645639056500274,0.12111559431641812,-0.1842092216081439,0.3569804456571169,0.002606017531390666,0.2405190927322672,0.23993720073217423,0.07333517107977845,0.9810304409558015,34590.5,0.0,0.4738213693437574,1.0,0.15567745474492595,0.07047216349541931,0.059829335659742355,0,3,79,16,0,0,74,0
Exp2_to_Exp1,Exp2,Exp1,B4_TEACHER_MEMORY,0.5905040305664991,0.5142437643954073,0.756887544365244,0.8508100568508783,1.3645639056500274,0.12111559431641812,-0.1842092216081439,0.3569804456571169,0.002606017531390666,0.2405190927322672,0.23993720073217423,0.07333517107977845,0.9810304409558015,34590.5,0.0,0.4738213693437574,1.0,0.15567745474492595,0.07047216349541931,0.059829335659742355,0,3,79,16,0,0,74,0
Exp2_to_Exp1,Exp2,Exp1,B5_TEMPORAL_RANKING,0.5782311797964846,0.5175052222475343,0.7360594245367044,0.8380073514831441,1.3382336807460231,0.12541259957225437,-0.18593938857797157,0.3842655752614825,0.002606017531390666,0.24052944917558378,0.23995244416871533,0.06667864649550465,0.984719638941476,34590.5,0.0,0.4738213693437574,0.9929786066922655,0.18716401535929786,0.3757327080890973,0.058013878762722015,0,4,180,19,0,85,72,0
Exp2_to_Exp1,Exp2,Exp1,B6_FULL_ADAPTATION,0.5828257810019855,0.5193030884328969,0.7375185331686539,0.8388305163676032,1.3380142622051563,0.1254797485621975,-0.17025819899076075,0.3842655752614825,0.002606017531390666,0.24052579396897644,0.23994599466864677,0.06725999586051634,0.9844770805997514,34590.5,0.0,0.4738213693437574,0.9969281404278661,0.18727372462973121,0.37609841827768015,0.05819588899612427,0,4,180,19,0,85,72,0
Exp2_to_Exp1,Exp2,Exp1,B7_TENT_LITE,0.5007138214936018,0.4737867501721753,0.7031877722794923,0.8244804108362435,1.3493143170597917,0.13852360776526307,-0.3267232509649556,0.3447021373351523,0.002606017531390666,0.24062294973197165,0.24014062845487902,0.08755163300706127,0.9760549916785918,34590.5,0.0,0.4738213693437574,0.9686231486560615,0.3392210641799232,0.26228978007761966,0.0,0,0,0,0,0,154,54,0
