dataset,feature_name,channel,feature_family,median_base,IQR_base,IQR_used,clip_min,clip_max,saturation_rate_low,saturation_rate_high,missing_rate
Exp1,rx_mean,rx,mean,0.20272360361633446,0.012109418592326088,0.012109419592326087,-12.0,12.0,0.0,0.0,0.0
Exp1,rx_absmean,rx,absmean,0.20272360361633446,0.012109418592326088,0.012109419592326087,-12.0,12.0,0.0,0.0,0.0
Exp1,rx_rms,rx,rms,0.21345923843935818,0.01209639050473904,0.01209639150473904,-12.0,12.0,0.0,0.0,0.0
Exp1,rx_q05,rx,q05,0.10763571202536863,0.008793448102732485,0.008793449102732484,-12.0,12.0,0.0,0.0,0.0
Exp1,rx_q95,rx,q95,0.304210117380947,0.012659733739146917,0.012659734739146916,-12.0,12.0,0.000877674163466813,0.0,0.0
Exp1,rx_p2p,rx,p2p,0.2046243711332032,0.005060898250742879,0.005060899250742879,-12.0,12.0,0.23839824465167306,0.0,0.0
Exp1,rx_std,rx,std,0.06653756753256615,0.0017532499327491818,0.0017532509327491817,-12.0,12.0,0.30049369171695006,0.0,0.0
Exp1,rx_corrdist_base,rx,corrdist_base,0.0024793381104168065,0.0022789960757189256,0.0022789970757189255,-12.0,12.0,0.0,0.693582007679649,0.0
Exp1,rx_peak_phase,rx,peak_phase,0.6183035714285715,0.0011607142857142927,0.0011607152857142926,-12.0,12.0,0.13055403181568842,0.0,0.0
Exp1,rx_peak_width,rx,peak_width,0.2693069306930694,0.03811881188118815,0.03811881288118815,-12.0,12.0,0.0,0.0,0.0
Exp1,ry_mean,ry,mean,-0.040224358231500286,0.004061113851476249,0.004061114851476249,-12.0,12.0,0.09248491497531541,0.0,0.0
Exp1,ry_absmean,ry,absmean,0.04051484599393081,0.0035450256684758305,0.0035450266684758304,-12.0,12.0,0.0,0.09259462424574877,0.0
Exp1,ry_rms,ry,rms,0.05003000694990399,0.0014794459968901913,0.0014794469968901912,-12.0,12.0,0.0,0.44552934722984094,0.0
Exp1,ry_q05,ry,q05,-0.08119062506838455,0.000630436075338428,0.0006304370753384281,-12.0,12.0,0.8337904552934723,0.05222161272627537,0.0
Exp1,ry_q95,ry,q95,-0.001269919835819526,0.0064480692153897875,0.006448070215389788,-12.0,12.0,0.09237520570488206,0.0,0.0
Exp1,ry_p2p,ry,p2p,0.09035848402285365,0.0025763844582807893,0.0025763854582807892,-12.0,12.0,0.0,0.05704882062534284,0.0
Exp1,ry_std,ry,std,0.029817829842593995,0.002598635681431618,0.002598636681431618,-12.0,12.0,0.0,0.0,0.0
Exp1,ry_corrdist_base,ry,corrdist_base,0.003655768082401595,0.002025106028368906,0.0020251070283689057,-12.0,12.0,0.0,0.5847504114097641,0.0
Exp1,ry_peak_phase,ry,peak_phase,0.6031249999999999,0.0007142857142854453,0.0007142867142854453,-12.0,12.0,0.3885902358749314,0.04333516182117389,0.0
Exp1,ry_peak_width,ry,peak_width,0.34752475247524756,0.02970297029702973,0.02970297129702973,-12.0,12.0,0.0,0.0,0.0
Exp1,rs_mean,rs,mean,0.20743040942211008,0.011484405693353766,0.011484406693353766,-12.0,12.0,0.0,0.0,0.0
Exp1,rs_absmean,rs,absmean,0.20743040942211008,0.011484405693353766,0.011484406693353766,-12.0,12.0,0.0,0.0,0.0
Exp1,rs_rms,rs,rms,0.21922341881675922,0.011486067390737181,0.01148606839073718,-12.0,12.0,0.0,0.0,0.0
Exp1,rs_q05,rs,q05,0.10931468755847826,0.008012726695999547,0.008012727695999547,-12.0,12.0,0.0,0.0,0.0
Exp1,rs_q95,rs,q95,0.31367880554055655,0.012000366983607125,0.012000367983607124,-12.0,12.0,0.0,0.0,0.0
Exp1,rs_p2p,rs,p2p,0.21362498211571174,0.0054230145754288195,0.00542301557542882,-12.0,12.0,0.026769061985737794,0.0,0.0
Exp1,rs_std,rs,std,0.07005943106847135,0.0017634789727329764,0.0017634799727329763,-12.0,12.0,0.18134942402633022,0.0,0.0
Exp1,rs_corrdist_base,rs,corrdist_base,0.0022085233755290033,0.0020503941483789646,0.0020503951483789645,-12.0,12.0,0.0,0.6868897421832145,0.0
Exp2,rx_mean,rx,mean,0.17821607140389978,0.008262014351772845,0.008262015351772845,-12.0,12.0,0.0,0.03372381966631168,0.0
Exp2,rx_absmean,rx,absmean,0.17821607140389978,0.008262014351772845,0.008262015351772845,-12.0,12.0,0.0,0.03372381966631168,0.0
Exp2,rx_rms,rx,rms,0.18429879437313162,0.009023491870262412,0.009023492870262412,-12.0,12.0,0.0,0.042598509052183174,0.0
Exp2,rx_q05,rx,q05,0.10900876349406044,0.02464948768868111,0.02464948868868111,-12.0,12.0,0.0,0.0,0.0
Exp2,rx_q95,rx,q95,0.2587989198867635,0.040957142840729543,0.04095714384072954,-12.0,12.0,0.0,0.0,0.0
Exp2,rx_p2p,rx,p2p,0.18746977706431298,0.0601172006583901,0.0601172016583901,-12.0,12.0,0.0,0.0,0.0
Exp2,rx_std,rx,std,0.04870907083358552,0.017243904573701625,0.017243905573701625,-12.0,12.0,0.0,0.0,0.0
Exp2,rx_corrdist_base,rx,corrdist_base,0.026119814495010503,0.03660710938297655,0.03660711038297655,-12.0,12.0,0.0,0.020944266950656727,0.0
Exp2,rx_peak_phase,rx,peak_phase,0.6297321428571429,0.0003571428571429447,0.0003571438571429447,-12.0,12.0,0.01810436634717785,0.0,0.0
Exp2,rx_peak_width,rx,peak_width,0.18547854785478549,0.08135313531353139,0.08135313631353139,-12.0,12.0,0.0,0.0,0.0
Exp2,ry_mean,ry,mean,-0.24085124811357445,0.10181374104474819,0.10181374204474819,-12.0,12.0,0.0,0.0,0.0
Exp2,ry_absmean,ry,absmean,0.24085124811357445,0.10181374104474819,0.10181374204474819,-12.0,12.0,0.0,0.0,0.0
Exp2,ry_rms,ry,rms,0.2420942423373777,0.10139517087443936,0.10139517187443936,-12.0,12.0,0.0,0.0,0.0
Exp2,ry_q05,ry,q05,-0.28082492010232113,0.09794683682718025,0.09794683782718025,-12.0,12.0,0.0,0.0,0.0
Exp2,ry_q95,ry,q95,-0.20340489600943226,0.09354583389079445,0.09354583489079445,-12.0,12.0,0.0,0.0,0.0
Exp2,ry_p2p,ry,p2p,0.0919947785976541,0.012038768429883759,0.012038769429883758,-12.0,12.0,0.0,0.006389776357827476,0.0
Exp2,ry_std,ry,std,0.02428845020809999,0.0031993583293926584,0.0031993593293926583,-12.0,12.0,0.0,0.0,0.0
Exp2,ry_corrdist_base,ry,corrdist_base,0.0291142625125689,0.03663498169038768,0.03663498269038768,-12.0,12.0,0.0,0.2985445509407171,0.0
Exp2,ry_peak_phase,ry,peak_phase,0.604345238095238,0.005833333333333579,0.005833334333333579,-12.0,12.0,0.11892083777067802,0.0,0.0
Exp2,ry_peak_width,ry,peak_width,0.6599009900990098,0.40643564356435635,0.4064356445643564,-12.0,12.0,0.0,0.0,0.0
Exp2,rs_mean,rs,mean,0.29792499872146505,0.0784229380548222,0.0784229390548222,-12.0,12.0,0.0,0.0,0.0
Exp2,rs_absmean,rs,absmean,0.29792499872146505,0.0784229380548222,0.0784229390548222,-12.0,12.0,0.0,0.0,0.0
Exp2,rs_rms,rs,rms,0.3011576197575649,0.07886271762242761,0.07886271862242761,-12.0,12.0,0.0,0.0,0.0
Exp2,rs_q05,rs,q05,0.22654430725456942,0.0650206725182075,0.0650206735182075,-12.0,12.0,0.0,0.0,0.0
Exp2,rs_q95,rs,q95,0.3727100282805401,0.09074488165226946,0.09074488265226946,-12.0,12.0,0.0,0.0,0.0
Exp2,rs_p2p,rs,p2p,0.15918599698341604,0.021325192681763167,0.021325193681763166,-12.0,12.0,0.0,0.0014199503017394391,0.0
Exp2,rs_std,rs,std,0.04414905420779872,0.008735296873120482,0.008735297873120482,-12.0,12.0,0.0,0.0,0.0
Exp2,rs_corrdist_base,rs,corrdist_base,0.025921040060732543,0.028768347345022816,0.028768348345022815,-12.0,12.0,0.0,0.020944266950656727,0.0
