event_id,direction_id,dataset,model_name,peak_cycle,peak_window_index,TES_peak,TES_raw_at_peak,TES_prominence,event_type,high_confidence_event,AWR_at_peak,BDall_at_peak_v2,BDx_at_peak_v2,BDy_at_peak_v2,BDshape_at_peak_v2,RS_trend50_at_peak,nearest_stage_boundary,delay_to_boundary,matched_boundary
1,Exp1_to_Exp2,Exp1,M0,6090.5,1216,3.201703973595476,3.2128086294125113,3.201703973595476,TES_only,False,-4.476047936294785,4.306001002141167,5.018436200007041,3.5935658042752925,0.4749044079929571,-0.0005226482174095359,S1->S2@7575,-1484.5,False
2,Exp1_to_Exp2,Exp1,M0,7610.5,1520,130.38257695680167,129.30987050974545,130.38257695680167,TES_only,False,1.828228401734588,4.1151280520085045,4.153812378412841,4.076443725604169,5.336837296581362,-0.0016798071202756403,S1->S2@7575,35.5,True
3,Exp1_to_Exp2,Exp1,M0,8910.5,1780,12.598770000214763,11.561062467182268,12.598770000214763,TES_only,False,2.30482286533039,5.893913625848157,4.450064209585283,7.337763042111031,5.9263483738424,-0.00031313304741392044,S1->S2@7575,1335.5,False
4,Exp1_to_Exp2,Exp1,M0,10600.5,2118,12.558089719623748,13.426925047540347,12.558089719623748,TES_with_rising,True,2.274640043328662,5.922016505090926,5.064126585358542,6.779906424823309,5.556210705456326,0.0064744113550018545,S1->S2@7575,3025.5,False
5,Exp1_to_Exp2,Exp1,M0,12430.5,2484,3.2767956770822706,2.5222685995548026,3.2767956770822706,TES_only,False,1.1843174269325634,5.2750731274111375,4.77820256783617,5.771943686986105,4.077154106896466,-0.0015826689114638802,S1->S2@7575,4855.5,False
6,Exp1_to_Exp2,Exp1,M0,14045.5,2807,6.663950050826543,6.375647072156353,6.663950050826543,TES_only,False,1.044271720364629,5.237172195932123,4.417081791415634,6.057262600448612,4.188510462320891,-0.0023362650586573118,S1->S2@7575,6470.5,False
7,Exp1_to_Exp2,Exp1,M0,17275.5,3453,5.706918589473583,6.075873359586796,5.706918589473583,TES_only,False,-1.5087121326892805,5.9103136075702025,5.809846361601172,6.0107808535392335,1.69857655430721,-0.002074203707466871,S2->S3@21125,-3849.5,False
8,Exp1_to_Exp2,Exp1,M0,19655.5,3929,4.456284603016433,5.167582600020057,4.456284603016433,TES_only,False,-1.1896771102285686,6.126270480705708,5.954428211246643,6.298112750164774,1.4905267650275582,-0.004072138997099621,S2->S3@21125,-1469.5,False
9,Exp1_to_Exp2,Exp1,M0,21165.5,4231,127.01167367910378,129.79036620537286,127.01167367910378,TES_only,False,3.026883631509942,5.167329818247289,5.623610227710882,4.711049408783695,6.441052251587909,-0.0025181338688855213,S2->S3@21125,40.5,True
10,Exp1_to_Exp2,Exp1,M0,22860.5,4570,12.28233589399995,10.409248681494885,12.28233589399995,TES_only,False,1.3970830486539652,6.166797205960165,6.642897127540514,5.690697284379817,5.924040127641487,-0.004149458499336389,S2->S3@21125,1735.5,False
11,Exp1_to_Exp2,Exp1,M0,23895.5,4777,23.51832240776313,21.462570762524404,23.51832240776313,TES_only,False,1.1831403268224432,6.931569156128376,7.475418347533032,6.38771996472372,7.026182640297504,-0.0009399318925692546,S2->S3@21125,2770.5,False
12,Exp1_to_Exp2,Exp1,M0,25920.5,5182,10.309722003964312,6.309300847751545,10.309722003964312,TES_only,False,-0.271608201548103,7.910789362732944,8.90656501039379,6.915013715072099,4.39665887121338,-0.0018504393804267122,S3->S4@27840,-1919.5,False
13,Exp1_to_Exp2,Exp1,M0,27440.5,5486,5.7071882604142,5.5591107222075875,5.7071882604142,TES_only,False,-0.195674971110326,8.061445460874403,9.036374819434966,7.086516102313839,3.677709099168173,0.0014185033007499703,S3->S4@27840,-399.5,True
14,Exp1_to_Exp2,Exp1,M0,29150.5,5828,3.3748939713005455,2.0804052592695976,3.3748939713005455,TES_only,False,2.779707769015219,3.6927971009079137,2.9908261472155435,4.394768054600284,1.6570253725025852,-0.0030068244818300684,S3->S4@27840,1310.5,False
15,Exp1_to_Exp2,Exp1,M0,32595.5,6517,6.490683569357111,6.876112216957396,6.490683569357111,TES_only,False,1.9836310629547584,3.738729613285346,3.0340390472226373,4.443420179348055,1.5799062575173743,0.0011948943272338131,S4->S5@34600,-2004.5,False
16,Exp1_to_Exp2,Exp1,M0,34630.5,6924,52.45126823420778,47.07359154172623,52.45126823420778,TES_with_rising,True,3.930375906654542,6.984278261527567,5.424746379837921,8.543810143217213,3.646084527219792,0.03341220295268754,S4->S5@34600,30.5,True
17,Exp1_to_Exp2,Exp1,M0,36260.5,7250,9.777562618475512,5.9908642099632505,9.777562618475512,TES_only,False,2.57866094647858,7.20947005878549,6.1427144401168885,8.276225677454091,3.7118998565286496,-0.0001389273958521109,S4->S5@34600,1660.5,False
18,Exp1_to_Exp2,Exp1,M0,37590.5,7516,14.02367386266738,10.181143996365115,14.02367386266738,TES_only,False,2.6437537486996123,6.938081041904885,5.967903441137627,7.908258642672144,3.824945529147997,-0.00016897530619536916,S4->S5@34600,2990.5,False
19,Exp1_to_Exp2,Exp1,M0,39145.5,7827,29.360744965373904,28.95874077335208,29.360744965373904,TES_only,False,1.7051996019555975,7.76935016697071,7.403030741836114,8.135669592105307,5.373424721838856,0.0009458139057233472,S4->S5@34600,4545.5,False
20,Exp1_to_Exp2,Exp1,M0,41395.5,8277,138.9482735348156,138.08560691603753,138.9482735348156,TES_only,False,4.48795242115918,7.579112681506939,5.179128665224196,9.979096697789682,7.897829795427539,-0.0004936506400880524,S4->S5@34600,6795.5,False
21,Exp1_to_Exp2,Exp1,M0,43040.5,8606,12.272014044196844,14.77277872296704,12.272014044196844,TES_only,False,5.3182200819013214,7.67323597623251,4.943498788652739,10.402973163812282,8.302160054875515,-0.003026083443263836,S4->S5@34600,8440.5,False
22,Exp1_to_Exp2,Exp1,M0,44195.5,8837,6.532872632353458,3.544915391568718,6.532872632353458,TES_only,False,4.727013973078721,6.980876659504618,3.6752258012677457,10.286527517741492,8.008789957824561,-0.004804130599144862,S4->S5@34600,9595.5,False
23,Exp1_to_Exp2,Exp1,M0,45495.5,9097,6.962825929832844,0.9325649769526673,6.962825929832844,TES_only,False,3.697938705421245,7.0560349182004325,3.8973667053115135,10.214703131089353,8.162137087994761,-0.00623702188792353,S4->S5@34600,10895.5,False
24,Exp1_to_Exp2,Exp2,M0,965.5,191,5.610591833640691,5.517263568585131,5.610591833640691,TES_only,False,-0.4294396197002553,1.0697295151044854,1.3036933187913264,0.8357657114176446,2.782097377190754,-0.014889172340549206,S1->S2@3005,-2039.5,False
25,Exp1_to_Exp2,Exp2,M0,2730.5,544,14.712930897829688,14.705852454845035,14.712930897829688,TES_with_rising,True,2.378584686562442,1.3841869611002109,1.5025080933753416,1.26586582882508,12.0,0.005228441474427053,S1->S2@3005,-274.5,True
26,Exp1_to_Exp2,Exp2,M0,5130.5,1024,8.62374138028413,7.723250414063656,8.62374138028413,TES_only,False,1.7746017384745163,2.4548660320814406,3.427116648099774,1.482615416063107,8.638621232175614,-0.004165974652588247,S2->S3@6005,-874.5,False
27,Exp1_to_Exp2,Exp2,M0,6915.5,1381,7.9665889758543855,6.492635128806095,7.9665889758543855,TES_only,False,1.6942569237690102,2.075219214351007,1.5349765315155246,2.615461897186489,2.2134396619228127,-0.008198485411725636,S2->S3@6005,910.5,False
28,Exp1_to_Exp2,Exp2,M0,8725.5,1743,11.538582390851975,10.87500217623506,11.538582390851975,TES_with_rising,True,3.0778078321197,3.089933277358843,5.588133571281053,0.591732983436633,4.299032433888402,0.014060618913923273,S3->S4@8705,20.5,True
29,Exp1_to_Exp2,Exp2,M0,9915.5,1981,7.888895389049258,5.3516047080627835,7.888895389049258,TES_with_rising,True,4.361362155652305,3.964221879674016,7.03236479138362,0.8960789679644118,10.213391402757686,0.02662196656782838,S3->S4@8705,1210.5,False
30,Exp1_to_Exp2,Exp2,M0,11730.5,2344,13.01915552122214,12.78895159140848,13.01915552122214,TES_with_rising,True,4.907633045752322,4.067761845309499,5.634882217840868,2.500641472778129,10.571295290697602,0.020935973107782467,S4->S5@11705,25.5,True
31,Exp2_to_Exp1,Exp1,M0,7610.5,1520,130.38257695680167,129.30987050974545,130.38257695680167,TES_only,False,1.828228401734588,4.1151280520085045,4.153812378412841,4.076443725604169,5.336837296581362,-0.0016798071202756403,S1->S2@7575,35.5,True
32,Exp2_to_Exp1,Exp1,M0,8910.5,1780,12.598770000214763,11.561062467182268,12.598770000214763,TES_only,False,2.30482286533039,5.893913625848157,4.450064209585283,7.337763042111031,5.9263483738424,-0.00031313304741392044,S1->S2@7575,1335.5,False
33,Exp2_to_Exp1,Exp1,M0,10600.5,2118,12.558089719623748,13.426925047540347,12.558089719623748,TES_with_rising,True,2.274640043328662,5.922016505090926,5.064126585358542,6.779906424823309,5.556210705456326,0.0064744113550018545,S1->S2@7575,3025.5,False
34,Exp2_to_Exp1,Exp1,M0,14045.5,2807,6.663950050826543,6.375647072156353,6.663950050826543,TES_only,False,1.044271720364629,5.237172195932123,4.417081791415634,6.057262600448612,4.188510462320891,-0.0023362650586573118,S1->S2@7575,6470.5,False
35,Exp2_to_Exp1,Exp1,M0,17275.5,3453,5.706918589473583,6.075873359586796,5.706918589473583,TES_only,False,-1.5087121326892805,5.9103136075702025,5.809846361601172,6.0107808535392335,1.69857655430721,-0.002074203707466871,S2->S3@21125,-3849.5,False
36,Exp2_to_Exp1,Exp1,M0,21165.5,4231,127.01167367910378,129.79036620537286,127.01167367910378,TES_only,False,3.026883631509942,5.167329818247289,5.623610227710882,4.711049408783695,6.441052251587909,-0.0025181338688855213,S2->S3@21125,40.5,True
37,Exp2_to_Exp1,Exp1,M0,22860.5,4570,12.28233589399995,10.409248681494885,12.28233589399995,TES_only,False,1.3970830486539652,6.166797205960165,6.642897127540514,5.690697284379817,5.924040127641487,-0.004149458499336389,S2->S3@21125,1735.5,False
38,Exp2_to_Exp1,Exp1,M0,23895.5,4777,23.51832240776313,21.462570762524404,23.51832240776313,TES_only,False,1.1831403268224432,6.931569156128376,7.475418347533032,6.38771996472372,7.026182640297504,-0.0009399318925692546,S2->S3@21125,2770.5,False
39,Exp2_to_Exp1,Exp1,M0,25920.5,5182,10.309722003964312,6.309300847751545,10.309722003964312,TES_only,False,-0.271608201548103,7.910789362732944,8.90656501039379,6.915013715072099,4.39665887121338,-0.0018504393804267122,S3->S4@27840,-1919.5,False
40,Exp2_to_Exp1,Exp1,M0,27440.5,5486,5.7071882604142,5.5591107222075875,5.7071882604142,TES_only,False,-0.195674971110326,8.061445460874403,9.036374819434966,7.086516102313839,3.677709099168173,0.0014185033007499703,S3->S4@27840,-399.5,True
41,Exp2_to_Exp1,Exp1,M0,32595.5,6517,6.490683569357111,6.876112216957396,6.490683569357111,TES_only,False,1.9836310629547584,3.738729613285346,3.0340390472226373,4.443420179348055,1.5799062575173743,0.0011948943272338131,S4->S5@34600,-2004.5,False
42,Exp2_to_Exp1,Exp1,M0,34630.5,6924,52.45126823420778,47.07359154172623,52.45126823420778,TES_with_rising,True,3.930375906654542,6.984278261527567,5.424746379837921,8.543810143217213,3.646084527219792,0.03341220295268754,S4->S5@34600,30.5,True
43,Exp2_to_Exp1,Exp1,M0,36260.5,7250,9.777562618475512,5.9908642099632505,9.777562618475512,TES_only,False,2.57866094647858,7.20947005878549,6.1427144401168885,8.276225677454091,3.7118998565286496,-0.0001389273958521109,S4->S5@34600,1660.5,False
44,Exp2_to_Exp1,Exp1,M0,37590.5,7516,14.02367386266738,10.181143996365115,14.02367386266738,TES_only,False,2.6437537486996123,6.938081041904885,5.967903441137627,7.908258642672144,3.824945529147997,-0.00016897530619536916,S4->S5@34600,2990.5,False
45,Exp2_to_Exp1,Exp1,M0,39145.5,7827,29.360744965373904,28.95874077335208,29.360744965373904,TES_only,False,1.7051996019555975,7.76935016697071,7.403030741836114,8.135669592105307,5.373424721838856,0.0009458139057233472,S4->S5@34600,4545.5,False
46,Exp2_to_Exp1,Exp1,M0,41395.5,8277,138.9482735348156,138.08560691603753,138.9482735348156,TES_in_high_AWR,True,4.48795242115918,7.579112681506939,5.179128665224196,9.979096697789682,7.897829795427539,-0.0004936506400880524,S4->S5@34600,6795.5,False
47,Exp2_to_Exp1,Exp1,M0,43040.5,8606,12.272014044196844,14.77277872296704,12.272014044196844,TES_in_high_AWR,True,5.3182200819013214,7.67323597623251,4.943498788652739,10.402973163812282,8.302160054875515,-0.003026083443263836,S4->S5@34600,8440.5,False
48,Exp2_to_Exp1,Exp1,M0,44195.5,8837,6.532872632353458,3.544915391568718,6.532872632353458,TES_in_high_AWR,True,4.727013973078721,6.980876659504618,3.6752258012677457,10.286527517741492,8.008789957824561,-0.004804130599144862,S4->S5@34600,9595.5,False
49,Exp2_to_Exp1,Exp1,M0,45495.5,9097,6.962825929832844,0.9325649769526673,6.962825929832844,TES_only,False,3.697938705421245,7.0560349182004325,3.8973667053115135,10.214703131089353,8.162137087994761,-0.00623702188792353,S4->S5@34600,10895.5,False
50,Exp2_to_Exp1,Exp2,M0,965.5,191,5.610591833640691,5.517263568585131,5.610591833640691,TES_only,False,-0.4294396197002553,1.0697295151044854,1.3036933187913264,0.8357657114176446,2.782097377190754,-0.014889172340549206,S1->S2@3005,-2039.5,False
51,Exp2_to_Exp1,Exp2,M0,2730.5,544,14.712930897829688,14.705852454845035,14.712930897829688,TES_with_rising,True,2.378584686562442,1.3841869611002109,1.5025080933753416,1.26586582882508,12.0,0.005228441474427053,S1->S2@3005,-274.5,True
52,Exp2_to_Exp1,Exp2,M0,5130.5,1024,8.62374138028413,7.723250414063656,8.62374138028413,TES_only,False,1.7746017384745163,2.4548660320814406,3.427116648099774,1.482615416063107,8.638621232175614,-0.004165974652588247,S2->S3@6005,-874.5,False
53,Exp2_to_Exp1,Exp2,M0,6915.5,1381,7.9665889758543855,6.492635128806095,7.9665889758543855,TES_only,False,1.6942569237690102,2.075219214351007,1.5349765315155246,2.615461897186489,2.2134396619228127,-0.008198485411725636,S2->S3@6005,910.5,False
54,Exp2_to_Exp1,Exp2,M0,8725.5,1743,11.538582390851975,10.87500217623506,11.538582390851975,TES_with_rising,True,3.0778078321197,3.089933277358843,5.588133571281053,0.591732983436633,4.299032433888402,0.014060618913923273,S3->S4@8705,20.5,True
55,Exp2_to_Exp1,Exp2,M0,9915.5,1981,7.888895389049258,5.3516047080627835,7.888895389049258,TES_with_rising,True,4.361362155652305,3.964221879674016,7.03236479138362,0.8960789679644118,10.213391402757686,0.02662196656782838,S3->S4@8705,1210.5,False
56,Exp2_to_Exp1,Exp2,M0,11730.5,2344,13.01915552122214,12.78895159140848,13.01915552122214,TES_in_high_AWR_and_rising,True,4.907633045752322,4.067761845309499,5.634882217840868,2.500641472778129,10.571295290697602,0.020935973107782467,S4->S5@11705,25.5,True
